harga;terjual;;
42000;57;;
51000;4400;;
45000;504;;
19299;38;;
24500;55;;
54000;4;;
54000;86;;
25900;10000;;
48000;2400;;
68000;33;;
50400;2500;;
80000;548;;
137000;499;;
94000;0;;
96000;2100;;
27000;5600;;
240000;9;;
200000;1;;
108000;0;;
124700;1100;;
175000;0;;
50000;2;;
57000;7400;;
35000;106;;
97700;270;;
350000;0;;
95000;336;;
124700;315;;
57000;1400;;
27000;2100;;
42000;46;;
184000;9;;
41000;40;;
250000;0;;
80000;0;;
97700;683;;
97700;901;;
95000;17;;
110000;0;;
94000;6;;
97700;571;;
115000;9;;
45900;0;;
259900;325;;
225000;11;;
151900;17;;
50000;26;;
120000;30;;
240000;5;;
159700;107;;
110000;0;;
55000;2;;
110000;0;;
69000;24;;
66500;40;;
65000;5500;;
97700;87;;
85000;50;;
9936;2200;;
95000;44;;
55000;349;;
97700;724;;
97700;42;;
95000;15;;
24000;663;;
97700;392;;
66500;21;;
95000;271;;
47500;0;;
97700;6;;
169000;1;;
97700;109;;
41999;0;;
95000;37;;
114700;138;;
43750;716;;
42999;361;;
43999;45;;
46000;58;;
95000;348;;
53000;0;;
53000;0;;
80750;38;;
58000;165;;
50000;80;;
95000;69;;
66500;28;;
95000;40;;
69000;16;;
71000;35;;
85000;4;;
240000;17;;
200000;15;;
71000;33;;
62900;50;;
120000;0;;
70000;26;;
42750;27;;
68000;0;;
72000;3;;
85000;0;;
135000;1;;
52000;0;;
72000;0;;
71000;0;;
71000;1;;
135000;0;;
120000;3;;
68000;1;;
69000;0;;
62900;5;;
73000;2;;
26500;601;;
42750;45;;
40999;58;;
41999;38;;
42000;302;;
42000;50;;
55000;30;;
900000;18;;
61900;15;;
55000;10;;
55000;7;;
117500;6;;
55000;5;;
42000;5;;
75800;5;;
53000;4;;
66000;4;;
61900;4;;
45000;4;;
57000;3;;
55000;3;;
57000;2;;
299000;2;;
229000;2;;
53000;2;;
65000;2;;
40950;2;;
65000;2;;
65000;2;;
40950;2;;
65000;2;;
40950;1;;
195000;1;;
99450;1;;
64900;1;;
59900;1;;
53000;1;;
65500;1;;
55675;1;;
48000;1;;
53000;1;;
140000;1;;
55000;1;;
53000;1;;
53000;1;;
80000;1;;
70400;1;;
69900;1;;
65400;1;;
65000;1;;
40950;0;;
61900;0;;
150000;0;;
53000;0;;
47000;0;;
299000;80;;
229000;69;;
58900;30;;
59900;28;;
53000;46;;
43000;0;;
58000;0;;
43000;0;;
58000;0;;
115000;0;;
97700;0;;
100000;0;;
95000;0;;
85000;0;;
80750;0;;
57000;0;;
100000;0;;
95000;0;;
